"title", "Anne", "Lucas"
"Mr. & Mrs. Smith (de)", "✓", "✓"
"Mr. & Mrs. Smith (en)", "✗", "✗"
"Bridge to Terabithia", "✗", "✓"
"Kikis kleiner Lieferservice", "✗", "✗"
"First Position", "✗", "✗"
"Cloud Atlas", "✓", "✓"
"Gravity", "✗", "✗"
"Sherlock - Ein Fall von Pink", "✓", "✓"
"Sherlock - A Study in Pink", "✓", "✓"
"Sherlock - Der blinde Banker", "✓", "✓"
"Sherlock - The Blind Banker", "✓", "✓"
"Sherlock - Das große Spiel", "✓", "✓"
"Sherlock - The Great Game", "✓", "✓"
"Sherlock - Ein Skandal in Belgravia", "✓", "✓"
"Sherlock - A Scandal in Belgravia", "✓", "✓"
"Sherlock - Die Hunde von Baskerville", "✓", "✓"
"Sherlock - The Hounds of Baskerville", "✓", "✓"
"Sherlock - Der Reichenbachfall", "✓", "✓"
"Sherlock - The Reichenbach Fall", "✓", "✓"
"Sherlock - The Empty Hearse", "✗", "✓"
"Sherlock - The Sign of Three", "✗", "✗"
"Sherlock - His Last Vow", "✗", "✗"
"Percy Jackson - Diebe im Olymp", "✓", "✓"
"Percy Jackson - Im Bann des Zyklopen", "✗", "✗"
"Der Butler", "✗", "✗"
"Der Medicus", "✗", "✗"
"Der große Gatsby", "✗", "✗"
"Avatar - Aufbruch nach Pandora", "✓", "✓"
"Avatar 2", "✗", "✗"
"The Avengers", "✓", "✓"
"The Avengers - Age of Ultron", "✗", "✗"
"Batman - Batman Begins", "✓", "✓"
"Batman - The Dark Knight", "✓", "✓"
"Batman - The Dark Knight Rises", "✓", "✓"
"Ziemlich beste Freunde", "✓", "✓"
"Dame, König, As, Spion", "✓", "✓"
"Per Anhalter durch die Glaxis", "✓", "✓"
"Iron Man", "✓", "✓"
"Iron Man 2", "✓", "✓"
"Iron Man 3", "✓", "✓"
"Django Unchained", "✗", "✓"
"Ich einfach unverbesserlich", "✓", "✓"
"Ich einfach unverbesserlich 2", "✗", "✗"
"Drachen zähmen leicht gemacht", "✓", "✓"
"How to train Your Dragon", "✗", "✗"
